"regon14","nip","nazwa","woj","pow","gmi","miej","ul","nr","lok","miej_naz","ul_naz"
"39072973000000","6921033718","POWIATOWY URZĄD PRACY W LUBINIE","02","11","011","0954142","08435","12B","","Lubin","ul. Jana Kilińskiego"
"39072980700000","6911074087","POWIATOWY URZĄD PRACY","02","62","011","0954047","00285","2","","Legnica","ul. gen. Władysława Andersa"
"39073016000000","6941031585","POWIATOWY URZĄD PRACY W ZŁOTORYI","02","26","021","0954219","12946","18","","Złotoryja","al. Miła"
"39073019900000","6931897159","POWIATOWY URZĄD PRACY W GŁOGOWIE","02","03","011","0954082","16033","1","","Głogów","ul. Piaskowa"
"39073222900000","6921756776","POWIATOWY URZĄD PRACY","02","16","044","0954165","10780","15","","Polkowice","ul. Legnicka"
"39073270300000","6951009222","POWIATOWY URZĄD PRACY","02","05","011","0954120","21359","7","","Jawor","ul. Strzegomska"
"41114297000000","6991444792","POWIATOWY URZĄD PRACY,RAWICZ","30","22","054","0954604","07911","19A","","Rawicz","ul. Stanisława Kamińskiego"
"41114347700000","6971040956","POWIATOWY URZĄD PRACY,LESZNO","30","63","011","0954225","22382","5","","Leszno","ul. Śniadeckich"
"41114349000000","9231363144","POWIATOWY URZĄD PRACY W WOLSZTYNIE","30","29","034","0988632","21469","5A","","Wolsztyn","ul. 5 Stycznia"
"41114375000000","6961396284","POWIATOWY URZĄD PRACY W GOSTYNIU","30","04","024","0954395","17394","200G","","Gostyń","ul. Poznańska"
"41114395100000","6981040998","POWIATOWY URZĄD PRACY W KOŚCIANIE","30","11","011","0954484","48168","8","","Kościan","ul. Ks. Prym. Stefana Wyszyńskiego"
"41114401100000","7851633200","POWIATOWY URZĄD PRACY W ŚREMIE","30","26","044","0971560","05860","49","","Śrem","ul. Gostyńska"
"43012391300000","7121936939","WOJEWÓDZKI URZĄD PRACY W LUBLINIE","06","63","011","0954700","14686","4","","Lublin","ul. Obywatelska"
"43012391300029","7121936939","WOJEWÓDZKI URZĄD PRACY W LUBLINIE FILIA W CHEŁMIE","06","62","011","0929902","14201","1","","Chełm","pl. Niepodległości"
